-0.42812,-0.22945,2
-0.21613,-0.4038,2
-0.34886,0.15309,2
-0.40345,-0.22891,2
0.40251,0.45589,1
0.096783,-0.05881,1
0.43362,0.23731,1
-0.1415,0.40592,2
0.39447,-0.42621,1
-0.31878,0.22892,2
0.093699,-0.36672,1
0.14885,-0.44361,1
-0.050903,0.41003,2
-0.33123,0.034205,2
-0.40111,-0.19418,2
-0.17848,-0.091939,2
-0.32471,-0.29553,2
-0.35241,-0.10822,2
0.026023,-0.49461,1
0.39046,0.16759,1
-0.17217,0.47507,2
-0.45347,-0.21616,2
0.45273,-0.19053,1
0.41693,0.34362,1
-0.16096,0.056691,2
0.14789,-0.17018,1
0.014363,0.30425,1
0.021707,-0.079451,1
0.053315,0.26991,1
0.31213,-0.24792,1
-0.49665,0.46206,2
0.27213,0.22108,1
-0.18822,-0.41579,2
-0.43132,-0.38128,2
-0.27639,-0.14456,2
-0.38771,0.11055,2
0.22987,0.41267,1
-0.032774,-0.21001,2
0.066071,-0.4641,1
0.042133,-0.20187,1
0.4285,-0.21742,1
0.086864,-0.22938,1
-0.017102,-0.44533,2
0.059652,0.33692,1
-0.30113,-0.22665,2
0.2689,-0.06532,1
-0.095433,-0.18508,2
0.3075,0.23248,1
0.031163,-0.46016,1
0.23829,-0.45656,1
0.024201,0.16584,1
0.18111,-0.48776,1
0.36336,0.27636,1
-0.14966,-0.0063459,2
-0.43615,-0.085689,2
-0.029621,-0.12431,2
-0.27186,0.17817,2
-0.2851,-0.28528,2
0.35513,-0.35296,1
0.28806,-0.089656,1
-0.34871,-0.16296,2
-0.22236,-0.35076,2
-0.24739,-0.29761,2
-0.31141,0.028789,2
0.084703,-0.30403,1
-0.05962,-0.33045,2
-0.37091,0.47332,2
0.24273,0.38361,1
0.085281,-0.11121,1
0.27618,0.29062,1
-0.020215,-0.077756,2
0.39646,0.27256,1
-0.38354,0.30315,2
0.073291,0.034516,1
0.051241,0.10008,1
0.032212,0.0756,1
-0.22178,0.16409,2
0.35069,-0.17378,1
-0.28271,-0.0015785,2
-0.26591,-0.15042,2
-0.31481,-0.12779,2
0.35806,-0.336,1
-0.4838,-0.27481,2
-0.12245,-0.42418,2
-0.28195,-0.25696,2
0.13316,-0.30211,1
-0.36398,-0.32474,2
-0.48501,0.36075,2
-0.16481,-0.2769,2
0.43581,0.038097,1
0.22033,-0.30681,1
-0.049329,0.46631,2
-0.47297,-0.36791,2
-0.36077,-0.39635,2
0.45175,0.22391,1
0.49195,-0.23116,1
-0.13886,0.14223,2
-0.012025,0.083708,2
0.25209,0.25052,1
0.17007,-0.40173,1
0.066245,0.15016,1
0.035575,-0.060389,1
0.24051,-0.22515,1
-0.4182,-0.43385,2
0.24818,0.017763,1
